id,title,artist,year,culture,classification,medium,source_url,image_manifest_url,image_source_used,palette_image_file,palette_image_path,dominant_colors_hex,color_ratios,color_chinese_names,overall_tone,color_family,color_tags_cn,color_1_hex,color_2_hex,color_3_hex,color_4_hex,color_5_hex,color_6_hex,color_7_hex,color_8_hex,color_9_hex,color_1_ratio,color_2_ratio,color_3_ratio,color_4_ratio,color_5_ratio,color_6_ratio,color_7_ratio,color_8_ratio,color_9_ratio,color_1_cn,color_2_cn,color_3_cn,color_4_cn,color_5_cn,color_6_cn,color_7_cn,color_8_cn,color_9_cn
869,The Watermill with the Great Red Roof,Meindert Hobbema,c. 1662/65,欧洲,Painting / Sculpture,Oil on canvas,https://www.artic.edu/artworks/869,https://api.artic.edu/api/v1/artworks/869/manifest.json,"https://lakeimagesweb.artic.edu/iiif/2/237c25a2-6051-a8e7-1610-a01938d4deab/full/1686,/0/default.jpg",869_palette.png,outputs/color_cards/869_palette.png,"#7E827B, #2C2315, #1B140C, #949184, #3B331E, #4B452E, #615A40, #77725F, #B2A791","17.29%, 16.49%, 16.28%, 14.52%, 11.77%, 7.68%, 5.82%, 5.76%, 4.37%",灰色、深橙色、黑色、灰色、深橙色、深黄色、黄色、灰黄色、灰橙色,深色调,橙色系,灰色、深橙色、黑色、灰色、深橙色、深黄色、黄色、灰黄色、灰橙色、深色调、橙色系,#7E827B,#2C2315,#1B140C,#949184,#3B331E,#4B452E,#615A40,#77725F,#B2A791,17.29%,16.49%,16.28%,14.52%,11.77%,7.68%,5.82%,5.76%,4.37%,灰色,深橙色,黑色,灰色,深橙色,深黄色,黄色,灰黄色,灰橙色
2189,Ready-to-Wear,Stuart Davis,1955,美洲,American Art,Oil on canvas,https://www.artic.edu/artworks/2189,https://api.artic.edu/api/v1/artworks/2189/manifest.json,"https://lakeimagesweb.artic.edu/iiif/2/e7ebc4b0-46e3-c957-76ac-669cadaf1115/full/!3000,3000/0/default.jpg",2189_palette.png,outputs/color_cards/2189_palette.png,"#5084CA, #E5E2D9, #E24815, #2E2C31, #39373B, #445A7B, #B8B7BB, #907A81, #9B442F","29.33%, 19.08%, 17.96%, 17.00%, 13.06%, 1.16%, 0.93%, 0.81%, 0.68%",浅蓝色、白色、浅红色、深灰色、深灰色、蓝色、浅灰色、灰粉紫色、红色,中明度色调,灰色系,浅蓝色、白色、浅红色、深灰色、深灰色、蓝色、浅灰色、灰粉紫色、红色、中明度色调、灰色系,#5084CA,#E5E2D9,#E24815,#2E2C31,#39373B,#445A7B,#B8B7BB,#907A81,#9B442F,29.33%,19.08%,17.96%,17.00%,13.06%,1.16%,0.93%,0.81%,0.68%,浅蓝色,白色,浅红色,深灰色,深灰色,蓝色,浅灰色,灰粉紫色,红色
2816,Interior at Nice,Henri Matisse,1919,欧美现代艺术,Modern Art,Oil on canvas,https://www.artic.edu/artworks/2816,https://api.artic.edu/api/v1/artworks/2816/manifest.json,"https://lakeimagesweb.artic.edu/iiif/2/2193cdda-2691-2802-0776-145dee77f7ea/full/800,/0/default.jpg",2816_palette.png,outputs/color_cards/2816_palette.png,"#AB8E78, #8A7767, #AFAA96, #A78046, #62564A, #8CA9AE, #588A97, #117773, #D0CDB8","25.49%, 18.81%, 15.07%, 13.29%, 8.54%, 7.28%, 4.17%, 3.77%, 3.59%",橙色、橙色、灰黄色、橙色、橙色、灰青色、青色、青色、浅灰色,中明度色调,橙色系,橙色、橙色、灰黄色、橙色、橙色、灰青色、青色、青色、浅灰色、中明度色调、橙色系,#AB8E78,#8A7767,#AFAA96,#A78046,#62564A,#8CA9AE,#588A97,#117773,#D0CDB8,25.49%,18.81%,15.07%,13.29%,8.54%,7.28%,4.17%,3.77%,3.59%,橙色,橙色,灰黄色,橙色,橙色,灰青色,青色,青色,浅灰色
4081,Gian Lodovico Madruzzo,Giovanni Battista Moroni,1551/52,欧洲,Painting / Sculpture,Oil on canvas,https://www.artic.edu/artworks/4081,https://api.artic.edu/api/v1/artworks/4081/manifest.json,"https://lakeimagesweb.artic.edu/iiif/2/bc24fe7f-4171-c785-bff2-b2ed3777a47d/full/1686,/0/default.jpg",4081_palette.png,outputs/color_cards/4081_palette.png,"#181816, #6B6658, #5D574B, #7B7867, #534532, #8F6B4B, #342C23, #9C886E, #B7A387","47.73%, 12.94%, 10.08%, 6.98%, 6.23%, 5.42%, 4.96%, 3.64%, 2.01%",黑色、灰橙色、灰橙色、灰黄色、深橙色、橙色、深橙色、橙色、橙色,深色调,黑色系,黑色、灰橙色、灰橙色、灰黄色、深橙色、橙色、深橙色、橙色、橙色、深色调、黑色系,#181816,#6B6658,#5D574B,#7B7867,#534532,#8F6B4B,#342C23,#9C886E,#B7A387,47.73%,12.94%,10.08%,6.98%,6.23%,5.42%,4.96%,3.64%,2.01%,黑色,灰橙色,灰橙色,灰黄色,深橙色,橙色,深橙色,橙色,橙色
4428,Mère Grégoire,Gustave Courbet,1855,欧洲,Painting / Sculpture,Oil on canvas,https://www.artic.edu/artworks/4428,https://api.artic.edu/api/v1/artworks/4428/manifest.json,"https://lakeimagesweb.artic.edu/iiif/2/2e6d08c8-dac0-4f1c-3e56-de3539ceb905/full/1686,/0/default.jpg",4428_palette.png,outputs/color_cards/4428_palette.png,"#352B17, #181104, #312008, #3E341F, #262111, #44230A, #55452E, #776045, #A59178","20.23%, 18.63%, 14.97%, 14.70%, 14.08%, 9.69%, 3.85%, 2.38%, 1.46%",深橙色、黑色、深橙色、深橙色、黑色、深橙色、深橙色、橙色、橙色,深色调,橙色系,深橙色、黑色、深橙色、深橙色、黑色、深橙色、深橙色、橙色、橙色、深色调、橙色系,#352B17,#181104,#312008,#3E341F,#262111,#44230A,#55452E,#776045,#A59178,20.23%,18.63%,14.97%,14.70%,14.08%,9.69%,3.85%,2.38%,1.46%,深橙色,黑色,深橙色,深橙色,黑色,深橙色,深橙色,橙色,橙色
4575,Judith,Jan Sanders van Hemessen,c. 1540,欧洲,Painting / Sculpture,Oil on panel,https://www.artic.edu/artworks/4575,https://api.artic.edu/api/v1/artworks/4575/manifest.json,"https://lakeimagesweb.artic.edu/iiif/2/5b9758c9-24ef-8661-fac0-c9a4229eefd4/full/1686,/0/default.jpg",4575_palette.png,outputs/color_cards/4575_palette.png,"#2C2925, #342F2A, #463629, #58412F, #B18362, #6C4E36, #BB9479, #9F7150, #865E41","29.82%, 22.83%, 11.98%, 8.98%, 6.54%, 6.42%, 4.61%, 4.53%, 4.28%",深橙色、深橙色、深橙色、深橙色、橙色、橙色、橙色、橙色、橙色,深色调,橙色系,深橙色、深橙色、深橙色、深橙色、橙色、橙色、橙色、橙色、橙色、深色调、橙色系,#2C2925,#342F2A,#463629,#58412F,#B18362,#6C4E36,#BB9479,#9F7150,#865E41,29.82%,22.83%,11.98%,8.98%,6.54%,6.42%,4.61%,4.53%,4.28%,深橙色,深橙色,深橙色,深橙色,橙色,橙色,橙色,橙色,橙色
4758,Stoke-by-Nayland,John Constable,1836,欧洲,Painting / Sculpture,Oil on canvas,https://www.artic.edu/artworks/4758,https://api.artic.edu/api/v1/artworks/4758/manifest.json,"https://lakeimagesweb.artic.edu/iiif/2/400ce9e8-2f67-44e2-dd68-e6c98880d27f/full/1686,/0/default.jpg",4758_palette.png,outputs/color_cards/4758_palette.png,"#3B3224, #504531, #241F17, #665940, #7F8B8F, #677378, #9CA7A9, #807152, #BEC8C7","18.33%, 17.07%, 14.46%, 14.37%, 10.43%, 7.19%, 7.07%, 6.35%, 4.72%",深橙色、深橙色、黑色、橙色、灰色、灰蓝色、灰色、橙色、浅灰色,中明度色调,橙色系,深橙色、深橙色、黑色、橙色、灰色、灰蓝色、灰色、橙色、浅灰色、中明度色调、橙色系,#3B3224,#504531,#241F17,#665940,#7F8B8F,#677378,#9CA7A9,#807152,#BEC8C7,18.33%,17.07%,14.46%,14.37%,10.43%,7.19%,7.07%,6.35%,4.72%,深橙色,深橙色,黑色,橙色,灰色,灰蓝色,灰色,橙色,浅灰色
4773,Isabella Wolff,Sir Thomas Lawrence,c. 1803–1815,欧洲,Painting / Sculpture,Oil on canvas,https://www.artic.edu/artworks/4773,https://api.artic.edu/api/v1/artworks/4773/manifest.json,"https://lakeimagesweb.artic.edu/iiif/2/0052fc88-353e-db97-8741-b6b5ec6fb354/full/1686,/0/default.jpg",4773_palette.png,outputs/color_cards/4773_palette.png,"#40201A, #532F20, #6D4529, #AF8F77, #997861, #81604A, #C6AB91, #261715, #DEC9AB","22.15%, 18.66%, 11.92%, 10.60%, 10.59%, 8.06%, 6.62%, 5.77%, 5.63%",深红色、深橙色、橙色、橙色、橙色、橙色、橙色、黑色、浅橙色,中明度色调,橙色系,深红色、深橙色、橙色、橙色、橙色、橙色、橙色、黑色、浅橙色、中明度色调、橙色系,#40201A,#532F20,#6D4529,#AF8F77,#997861,#81604A,#C6AB91,#261715,#DEC9AB,22.15%,18.66%,11.92%,10.60%,10.59%,8.06%,6.62%,5.77%,5.63%,深红色,深橙色,橙色,橙色,橙色,橙色,橙色,黑色,浅橙色
4788,Lady Sarah Bunbury Sacrificing to the Graces,Sir Joshua Reynolds,1765,欧洲,Painting / Sculpture,Oil on canvas,https://www.artic.edu/artworks/4788,https://api.artic.edu/api/v1/artworks/4788/manifest.json,"https://lakeimagesweb.artic.edu/iiif/2/5a047a1c-d36e-e88d-05e7-845d3936159b/full/1686,/0/default.jpg",4788_palette.png,outputs/color_cards/4788_palette.png,"#614A28, #302119, #765D31, #4A3723, #B09888, #9A846D, #CFB6AD, #8E7347, #6C6557","18.16%, 15.02%, 14.34%, 12.84%, 9.89%, 9.29%, 8.37%, 7.34%, 4.74%",橙色、深橙色、橙色、深橙色、灰橙色、橙色、浅橙色、橙色、灰橙色,中明度色调,橙色系,橙色、深橙色、橙色、深橙色、灰橙色、橙色、浅橙色、橙色、灰橙色、中明度色调、橙色系,#614A28,#302119,#765D31,#4A3723,#B09888,#9A846D,#CFB6AD,#8E7347,#6C6557,18.16%,15.02%,14.34%,12.84%,9.89%,9.29%,8.37%,7.34%,4.74%,橙色,深橙色,橙色,深橙色,灰橙色,橙色,浅橙色,橙色,灰橙色
4796,Fishing Boats with Hucksters Bargaining for Fish,Joseph Mallord William Turner,1837/38,欧洲,Painting / Sculpture,Oil on canvas,https://www.artic.edu/artworks/4796,https://api.artic.edu/api/v1/artworks/4796/manifest.json,"https://lakeimagesweb.artic.edu/iiif/2/8641479e-c93e-f1a8-9925-19be061706da/full/1686,/0/default.jpg",4796_palette.png,outputs/color_cards/4796_palette.png,"#574F42, #726350, #A28C6F, #8B775D, #B7A080, #D1B690, #3A3020, #819097, #A0A6A2","18.25%, 15.61%, 14.87%, 12.95%, 10.97%, 9.78%, 6.78%, 6.27%, 4.52%",深橙色、橙色、橙色、橙色、橙色、浅橙色、深橙色、灰蓝色、灰色,中明度色调,橙色系,深橙色、橙色、橙色、橙色、橙色、浅橙色、深橙色、灰蓝色、灰色、中明度色调、橙色系,#574F42,#726350,#A28C6F,#8B775D,#B7A080,#D1B690,#3A3020,#819097,#A0A6A2,18.25%,15.61%,14.87%,12.95%,10.97%,9.78%,6.78%,6.27%,4.52%,深橙色,橙色,橙色,橙色,橙色,浅橙色,深橙色,灰蓝色,灰色
